,Title,Price,Old Price,Discount Price,Year,Mileage,Fuel,Engine Volume,Car Class,Engine Power
0,Smart ForTwo,2100 €,,,2006,153.000,Benzin,799,Hečbek,30kW(41KS)
1,Smart ForTwo cdi,5600 €,,,2011,59.000,Dizel,800,Kupe,44kW(60KS)
2,Smart ForTwo NOVOGODISNJI POPUST,1799 €,,,2002,112.425,Benzin,600,Kupe,44kW(60KS)
3,Smart ForTwo 0.8 CDI (može zamena),3100 €,,,2006,137.489,Dizel,799,Hečbek,30kW(41KS)
4,Smart ForTwo 1.0,6900 €,,,2016,51.133,Benzin,998,Kupe,52kW(71KS)
5,Smart ForTwo,1250 €,,,2002,145.000,Benzin,599,Kupe,40kW(54KS)
6,Smart ForTwo,4900,4900,4600 €,2008,128.000,Dizel,799,Kupe,33kW(45KS)
7,Smart ForTwo 600,1900 €,,,2001,119.000,Benzin,600,Kabriolet/Roadster,45kW(61KS)
8,Smart ForTwo /1.0 mhd Servo/,3499 €,,,2010,149.000,Benzin,999,Kupe,45kW(61KS)
9,Smart ForTwo CDI///PASSION (može zamena),3199 €,,,2008,120.000,Dizel,799,Kupe,33kW(45KS)
10,Smart ForTwo,2599 €,,,2007,95.000,Benzin,698,Hečbek,45kW(61KS)
11,Smart ForFour 1.0,6490 €,,,2016,94.898,Benzin,999,Hečbek,52kW(71KS)
12,Smart ForTwo 1.0MHD  NA.VI/CH,5250 €,,,2013,125.522,Benzin,999,Hečbek,45kW(61KS)
13,Smart ForTwo Mhd,4500 €,,,2010,104.564,Benzin,1000,Limuzina,100kW(136KS)
14,Smart ForFour PASSION PANO CH,6999 €,,,2015,67.000,Benzin,998,Hečbek,50kW(68KS)
15,Smart ForTwo,1750 €,,,2003,130.000,Benzin,698,Hečbek,45kW(61KS)
16,Smart ForTwo 0.8 CDI PURE CH,4299,4299,3999 €,2009,101.000,Dizel,799,Kupe,33kW(45KS)
17,Smart ForTwo EQ Električni,15900 €,,,2019,1.415,Električnipogon,111,Hečbek,60kW(82KS)
18,Smart ForTwo 1.0,3250 €,,,2008,155.600,Benzin,998,Kupe,52kW(71KS)
19,Smart ForFour,2500 €,,,2005,100.000,Benzin,1332,Limuzina,70kW(95KS)
20,Smart ForTwo cdi (može zamena),3650,3650,3350 €,2007,180.000,Dizel,800,Kupe,39kW(53KS)
21,Smart ForFour 1.3 B Passion CH,2350 €,,,2005,123.000,Benzin,1332,Hečbek,70kW(95KS)
22,Smart ForFour 1.3 i,1999 €,,,2006,103.000,Benzin,1332,Hečbek,70kW(95KS)
23,Smart ForTwo smart,3500 €,,,2011,70.000,Benzin,1000,Kupe,50kW(68KS)
24,Smart ForTwo,3100 €,,,2007,95.000,Benzin,999,Kupe,45kW(61KS)
25,Smart ForTwo,2100 €,,,2002,117.946,Benzin,600,Kupe,40kW(54KS)
26,Smart ForTwo,2450,2450,1900 €,2006,224.000,Benzin,698,Kupe,45kW(61KS)
27,Smart ForTwo 0.8 CDI,1850 €,,,2002,194.500,Dizel,799,Hečbek,30kW(41KS)
28,Smart ForFour 1.5 Passion CH,2150 €,,,2004,132.000,Benzin,1499,Hečbek,80kW(109KS)
29,Smart ForTwo,3500 €,,,2008,140.000,Benzin,999,Kupe,52kW(71KS)
30,Smart ForTwo 0.8 cdi,3499 €,,,2007,205.000,Dizel,800,Kupe,33kW(45KS)
31,Smart ForTwo Cabrio Brabus,9300,9300,8600 €,2011,66.000,Benzin,999,Kabriolet/Roadster,52kW(71KS)
32,Smart ForTwo 1.0 MHD BRABUS,4990 €,,,2011,129.000,Benzin,999,Kupe,52kW(71KS)
33,Smart ForTwo cdi,3290 €,,,2009,137.000,Dizel,700,Hečbek,33kW(45KS)
34,Smart ForFour 1.0 PURE bussines,6990,6990,6590 €,2016,93.200,Benzin,999,Hečbek,52kW(71KS)
